,"Concentrations of fine particulate matter (PM2.5)","Concentrations of fine particulate matter (PM2.5)","Concentrations of fine particulate matter (PM2.5)","Concentrations of fine particulate matter (PM2.5)","Concentrations of fine particulate matter (PM2.5)","Concentrations of fine particulate matter (PM2.5)","Concentrations of fine particulate matter (PM2.5)","Concentrations of fine particulate matter (PM2.5)","Concentrations of fine particulate matter (PM2.5)","Concentrations of fine particulate matter (PM2.5)"
,"2019","2018","2017","2016","2015","2014","2013","2012","2011","2010"
"Countries, territories and areas","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban"
"Afghanistan","75.19 [53.87-102.87]","83.50 [60.10-113.39]","74.91 [53.88-103.01]","77.76 [55.59-105.83]","81.38 [58.50-110.14]","82.36 [58.88-111.54]","87.33 [62.40-118.86]","82.40 [58.99-112.42]","80.45 [57.67-110.73]","83.13 [60.37-117.80]"
"Albania","16.58 [14.98-18.62]","20.09 [18.27-22.30]","19.30 [17.55-21.46]","18.44 [16.77-20.38]","19.32 [17.48-21.70]","19.42 [17.63-21.69]","20.12 [18.40-22.58]","21.99 [19.88-24.63]","23.39 [21.23-25.95]","22.30 [20.33-24.90]"
"Algeria","22.85 [14.51-35.46]","22.84 [14.50-35.44]","23.37 [14.70-36.36]","23.10 [14.59-35.86]","22.53 [14.38-34.85]","22.64 [14.43-34.97]","21.00 [13.82-31.92]","22.90 [14.47-35.57]","21.43 [13.98-32.79]","21.02 [13.83-32.06]"
"Andorra","8.88 [7.88-10.18]","9.60 [8.55-10.97]","9.69 [8.60-11.12]","9.44 [8.36-10.85]","10.35 [9.20-11.91]","9.73 [8.66-11.22]","10.56 [9.37-12.21]","11.23 [9.92-12.92]","12.13 [10.80-13.95]","11.88 [10.57-13.67]"
"Angola","32.32 [5.47-129.18]","31.13 [5.41-121.78]","30.31 [5.38-116.33]","30.73 [5.44-117.91]","28.91 [5.33-106.69]","27.79 [5.32-99.82]","27.90 [5.36-99.54]","26.94 [5.37-93.50]","27.61 [5.44-96.31]","26.53 [5.45-89.34]"
"Antigua and Barbuda","8.42 [5.84-11.68]","9.01 [6.27-13.21]","9.41 [6.57-13.87]","9.09 [6.15-13.17]","9.03 [6.17-12.43]","8.63 [6.00-11.83]","8.18 [5.56-11.60]","8.33 [5.90-11.97]","7.92 [5.31-11.60]","8.29 [5.45-12.31]"
"Argentina","11.23 [8.67-13.86]","11.75 [8.89-15.17]","12.34 [9.06-15.81]","13.01 [10.02-16.19]","13.23 [10.11-16.42]","12.69 [10.06-15.46]","13.12 [10.23-16.37]","12.12 [9.03-14.83]","12.34 [9.59-15.40]","12.29 [9.63-15.41]"
