,"Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)"
,"2020","2020","2020","2019","2019","2019","2018","2018","2018","2015","2015","2015","2010","2010","2010","2005","2005","2005","2000","2000","2000"
"WHO region","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female"
"Global","22.3","36.7","7.8","22.7","37.3","8.1","23.1","37.7","8.4","24.4","39.5","9.3","26.7","42.3","11.1","29.5","45.7","13.4","32.7","49.3","16.2"
"Africa","10.3","17.8","2.8","10.6","18.4","2.9","10.9","18.7","3.0","11.7","19.9","3.5","13.4","22.3","4.4","15.4","25.2","5.6","17.9","28.7","7.1"
"Americas","16.3","21.3","11.3","16.8","21.9","11.7","17.3","22.5","12.0","18.6","24.1","13.2","21.3","27.4","15.2","24.4","31.1","17.6","28.0","35.5","20.6"
"South-East Asia","29.0","46.6","11.3","29.6","47.4","11.9","30.4","48.3","12.5","32.9","51.1","14.7","37.6","55.8","19.3","43.4","61.5","25.2","50.4","68.2","32.5"
"Europe","25.3","32.9","17.7","25.7","33.5","17.9","26.1","34.1","18.1","27.2","35.8","18.6","29.3","38.9","19.7","31.7","42.4","21.0","34.6","46.5","22.6"
"Eastern Mediterranean","18.6","33.0","4.2","19.2","34.1","4.4","19.6","34.5","4.6","20.2","35.3","5.2","22.1","37.7","6.4","24.4","40.7","8.1","27.2","44.1","10.2"
"Western Pacific","24.6","46.4","2.8","24.9","46.8","2.9","24.9","46.8","3.0","25.3","47.5","3.2","26.1","48.4","3.7","27.0","49.8","4.3","27.9","50.8","5.0"
