region,sex,year,alcohol_consumption
Global,male,2019,8.7 
Africa,male,2019,7.5 
Americas,male,2019,11.9 
South-East Asia,male,2019,6.4 
Europe,male,2019,14.9 
Eastern Mediterranean,male,2019,0.5 
Western Pacific,male,2019,9.6 
Global,female,2019,2.2 
Africa,female,2019,1.6 
Americas,female,2019,3.3 
South-East Asia,female,2019,1.2 
Europe,female,2019,4.0 
Eastern Mediterranean,female,2019,0.1 
Western Pacific,female,2019,2.5 
Global,male,2015,9.4 
Africa,male,2015,7.7 
Americas,male,2015,12.2 
South-East Asia,male,2015,6.4 
Europe,male,2015,15.3 
Eastern Mediterranean,male,2015,0.5 
Western Pacific,male,2015,11.5 
Global,female,2015,2.4 
Africa,female,2015,1.7 
Americas,female,2015,3.3 
South-East Asia,female,2015,1.3 
Europe,female,2015,4.1 
Eastern Mediterranean,female,2015,0.1 
Western Pacific,female,2015,3.0 
Global,male,2010,9.1 
Africa,male,2010,7.9 
Americas,male,2010,12.4 
South-East Asia,male,2010,5.9 
Europe,male,2010,16.5 
Eastern Mediterranean,male,2010,0.7 
Western Pacific,male,2010,9.7 
Global,female,2010,2.3 
Africa,female,2010,1.7 
Americas,female,2010,3.4 
South-East Asia,female,2010,1.2 
Europe,female,2010,4.5 
Eastern Mediterranean,female,2010,0.1 
Western Pacific,female,2010,2.5 
Global,male,2000,8.0 
Africa,male,2000,9.2 
Americas,male,2000,12.3 
South-East Asia,male,2000,3.0 
Europe,male,2000,17.9 
Eastern Mediterranean,male,2000,0.4 
Western Pacific,male,2000,6.8 
Global,female,2000,2.1 
Africa,female,2000,2.1 
Americas,female,2000,3.4 
South-East Asia,female,2000,0.6 
Europe,female,2000,4.8 
Eastern Mediterranean,female,2000,0.1 
Western Pacific,female,2000,1.8 
